COD MUNIC.,UF,MUNICIPIO,COMARCA
3548500,SP,SANTOS,SANTOS
3548609,SP,SAO BENTO DO SAPUCAI,SAO BENTO DO SAPUCAI
3548203,SP,SANTO ANTONIO DO PINHAL,SÃO BENTO DO SAPUCAÍ
3548708,SP,SAO BERNARDO DO CAMPO,SAO BERNARDO DO CAMPO
3548807,SP,SAO CAETANO DO SUL,SAO CAETANO DO SUL
3548906,SP,SAO CARLOS,SAO CARLOS
3519303,SP,IBATE,SÃO CARLOS
3500402,SP,AGUAS DA PRATA,SAO JOAO DA BOA VISTA
3549102,SP,SAO JOAO DA BOA VISTA,SAO JOAO DA BOA VISTA
3549409,SP,SAO JOAQUIM DA BARRA,SAO JOAQUIM DA BARRA
3549706,SP,SAO JOSE DO RIO PARDO,SAO JOSE DO RIO PARDO
3513900,SP,DIVINOLANDIA,SÃO JOSÉ DO RIO PARDO
3550803,SP,SAO SEBASTIAO DA GRAMA,SÃO JOSÉ DO RIO PARDO
3504602,SP,BADY BASSITT,SAO JOSE DO RIO PRETO
3511300,SP,CEDRAL,SAO JOSE DO RIO PRETO
3549805,SP,SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO
3517505,SP,GUAPIAÇU,SÃO JOSÉ DO RIO PRETO
3521150,SP,IPIGUA,SÃO JOSÉ DO RIO PRETO
3555604,SP,UCHOA,SÃO JOSÉ DO RIO PRETO
3549904,SP,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS
3531704,SP,MONTEIRO LOBATO,SÃO JOSÉ DOS CAMPOS
3550001,SP,SAO LUIS DO PARAITINGA,SAO LUIS DO PARAITINGA
3526308,SP,LAGOINHA,SÃO LUIZ DO PARAITINGA
3503604,SP,AREIOPOLIS,SAO MANUEL
3550100,SP,SAO MANUEL,SAO MANUEL
3541059,SP,PRATANIA,SÃO MANUEL
3550209,SP,SAO MIGUEL ARCANJO,SAO MIGUEL ARCANJO
3550308,SP,SAO PAULO,SAO PAULO
3500600,SP,AGUAS DE SAO PEDRO,SAO PEDRO
3550407,SP,SAO PEDRO,SAO PEDRO
3547007,SP,SANTA MARIA DA SERRA,SÃO PEDRO
3502754,SP,ARACARIGUAMA,SAO ROQUE
3550605,SP,SAO ROQUE,SAO ROQUE
3550704,SP,SAO SEBASTIAO,SAO SEBASTIAO
3520400,SP,ILHABELA,SÃO SEBASTIÃO
3550902,SP,SAO SIMAO,SAO SIMAO
3527603,SP,LUIS ANTONIO,SÃO SIMÃO
3551009,SP,SAO VICENTE,SAO VICENTE
3551603,SP,SERRA NEGRA,SERRA NEGRA
3551504,SP,SERRANA,SERRANA
3551702,SP,SERTAOZINHO,SERTAOZINHO
3505609,SP,BARRINHA,SERTÃOZINHO
3514601,SP,DUMONT,SERTÃOZINHO
3552106,SP,SOCORRO,SOCORRO
3502903,SP,ARACOIABA DA SERRA,SOROCABA
3545308,SP,SALTO DE PIRAPORA,SOROCABA
3552205,SP,SOROCABA,SOROCABA
3552403,SP,SUMARE,SUMARE
3519071,SP,HORTOLANDIA,SUMARÉ
3552502,SP,SUZANO,SUZANO
3552809,SP,TABOAO DA SERRA,TABOAO DA SERRA
3553302,SP,TAMBAU,TAMBAU
3501806,SP,AMERICO DE CAMPOS,TANABI
3512902,SP,COSMORAMA,TANABI
3553401,SP,TANABI,TANABI
3510104,SP,CANDIDO RODRIGUES,TAQUARITINGA
3515608,SP,FERNANDO PRESTES,TAQUARITINGA
3546504,SP,SANTA ERNESTINA,TAQUARITINGA
3553708,SP,TAQUARITINGA,TAQUARITINGA
3512605,SP,CORONEL MACEDO,TAQUARITUBA
3553807,SP,TAQUARITUBA,TAQUARITUBA
3510302,SP,CAPELA DO ALTO,TATUI
3511607,SP,CESARIO LANGE,TATUI
3554003,SP,TATUI,TATUI
3541653,SP,QUADRA,TATUÍ
3542305,SP,REDENCAO DA SERRA,TAUBATE
3554102,SP,TAUBATE,TAUBATE
3515350,SP,EUCLIDES DA CUNHA PAULISTA,TEODORO SAMPAIO
3554300,SP,TEODORO SAMPAIO,TEODORO SAMPAIO
3554508,SP,TIETE,TIETE
3525854,SP,JUMIRIM,TIETÊ
3554805,SP,TREMEMBE,TREMEMBE
3503356,SP,ARCO-IRIS,TUPA
3505807,SP,BASTOS,TUPA
3555000,SP,TUPA,TUPA
3519006,SP,HERCULANDIA,TUPÃ
3519204,SP,IACRI,TUPÃ
3541802,SP,QUEIROZ,TUPÃ
3543808,SP,RINOPOLIS,TUPÃ
3531605,SP,MONTE CASTELO,TUPI PAULISTA
3533106,SP,NOVA GUATAPORANGA,TUPI PAULISTA
3549300,SP,SAO JOAO DO PAU D'ALHO,TUPI PAULISTA
3555109,SP,TUPI PAULISTA,TUPI PAULISTA
3555406,SP,UBATUBA,UBATUBA
3555802,SP,URANIA,URANIA
3547650,SP,SANTA SALETE,URÂNIA
3556008,SP,URUPES,URUPES
3521507,SP,IRAPUA,URUPÊS
3544806,SP,SALES,URUPÊS
3556206,SP,VALINHOS,VALINHOS
3506201,SP,BENTO DE ABREU,VALPARAISO
3556305,SP,VALPARAISO,VALPARAISO
3556404,SP,VARGEM GRANDE DO SUL,VARGEM GRANDE DO SUL
3556453,SP,VARGEM GRANDE PAULISTA,VARGEM GRANDE PAULISTA
3556503,SP,VARZEA PAULISTA,VARZEA PAULISTA
3527306,SP,LOUVEIRA,VINHEDO
3556701,SP,VINHEDO,VINHEDO
3554409,SP,TERRA ROXA,VIRADOURO
3556800,SP,VIRADOURO,VIRADOURO
3557006,SP,VOTORANTIM,VOTORANTIM
3501202,SP,ALVARES FLORENCE,VOTUPORANGA
3536257,SP,PARISI,VOTUPORANGA
3556107,SP,VALENTIM GENTIL,VOTUPORANGA
3557105,SP,VOTUPORANGA,VOTUPORANGA
